iter	Passed	Remaining
943	3644	4849
944	3648	4845
945	3652	4841
946	3656	4838
947	3660	4834
948	3664	4830
949	3667	4826
950	3672	4822
951	3675	4817
952	3679	4814
953	3682	4809
954	3686	4806
955	3691	4803
956	3695	4799
957	3699	4795
958	3702	4791
959	3706	4787
960	3710	4783
961	3714	4780
962	3718	4775
963	3721	4771
964	3726	4769
965	3729	4763
966	3736	4764
967	3740	4760
968	3743	4755
969	3747	4751
970	3750	4747
971	3754	4743
972	3757	4738
973	3760	4734
974	3763	4729
975	3767	4724
976	3770	4720
977	3776	4718
978	3778	4713
979	3783	4709
980	3786	4704
981	3789	4699
982	3792	4695
983	3795	4690
984	3800	4687
985	3804	4683
986	3807	4679
987	3811	4675
988	3814	4671
989	3818	4666
990	3821	4661
991	3824	4657
992	3827	4652
993	3831	4648
994	3834	4644
995	3837	4639
996	3842	4636
997	3846	4632
998	3849	4627
999	3852	4623
1000	3855	4618
1001	3859	4614
1002	3863	4610
1003	3866	4606
1004	3869	4601
1005	3872	4596
1006	3877	4593
1007	3880	4589
1008	3889	4591
1009	3893	4587
1010	3897	4583
1011	3899	4577
1012	3903	4574
1013	3907	4569
1014	3910	4565
1015	3914	4561
1016	3917	4556
1017	3921	4552
1018	3924	4548
1019	3928	4544
1020	3931	4539
1021	3934	4535
1022	3939	4532
1023	3942	4527
1024	3946	4524
1025	3949	4519
1026	3954	4516
1027	3963	4518
1028	3966	4514
1029	3971	4511
1030	3975	4507
1031	3979	4503
1032	3988	4505
1033	3991	4501
1034	3995	4496
1035	4000	4494
1036	4003	4489
1037	4006	4485
1038	4009	4480
1039	4012	4475
1040	4016	4471
1041	4020	4467
1042	4023	4463
1043	4027	4459
1044	4030	4454
1045	4035	4451
1046	4039	4447
1047	4042	4444
1048	4045	4439
1049	4049	4434
1050	4052	4430
1051	4056	4426
1052	4059	4421
1053	4063	4417
1054	4066	4413
1055	4069	4408
1056	4071	4403
1057	4074	4398
1058	4078	4394
1059	4082	4390
1060	4085	4385
1061	4088	4381
1062	4092	4377
1063	4095	4372
1064	4099	4368
1065	4102	4364
1066	4106	4360
1067	4109	4355
1068	4113	4352
1069	4117	4348
1070	4120	4343
1071	4123	4339
1072	4127	4335
1073	4131	4331
1074	4135	4328
1075	4139	4324
1076	4143	4320
1077	4146	4315
1078	4150	4311
1079	4153	4307
1080	4157	4303
1081	4160	4299
1082	4163	4294
1083	4167	4291
1084	4171	4287
1085	4174	4282
1086	4178	4278
1087	4181	4273
1088	4185	4270
1089	4189	4266
1090	4194	4263
1091	4197	4258
1092	4202	4256
1093	4205	4251
1094	4210	4248
1095	4215	4246
1096	4218	4241
1097	4221	4237
1098	4226	4233
1099	4229	4229
1100	4232	4224
1101	4235	4220
1102	4238	4215
1103	4241	4210
1104	4244	4206
1105	4248	4201
1106	4251	4197
1107	4254	4193
1108	4258	4189
1109	4262	4185
1110	4266	4182
1111	4269	4177
1112	4273	4173
1113	4276	4168
1114	4279	4164
1115	4283	4160
1116	4295	4164
1117	4298	4160
1118	4302	4156
1119	4306	4153
1120	4310	4148
1121	4313	4144
1122	4316	4139
1123	4319	4135
1124	4323	4131
1125	4327	4127
1126	4331	4124
1127	4334	4119
1128	4337	4114
1129	4340	4109
1130	4344	4106
1131	4347	4101
1132	4351	4097
1133	4354	4093
1134	4357	4089
1135	4361	4085
1136	4365	4081
1137	4369	4077
1138	4372	4073
1139	4376	4069
1140	4379	4064
1141	4382	4060
1142	4385	4055
1143	4389	4051
1144	4392	4047
1145	4396	4043
1146	4399	4039
1147	4403	4035
1148	4406	4031
1149	4410	4026
1150	4413	4021
1151	4417	4018
1152	4420	4014
1153	4424	4010
1154	4428	4006
1155	4430	4001
1156	4434	3997
1157	4443	3998
1158	4447	3994
1159	4450	3989
1160	4453	3985
1161	4455	3980
1162	4459	3976
1163	4471	3979
1164	4474	3975
1165	4477	3970
1166	4484	3969
1167	4490	3967
1168	4497	3966
1169	4502	3963
1170	4505	3958
1171	4508	3954
1172	4512	3950
1173	4517	3948
1174	4520	3943
1175	4524	3939
1176	4528	3935
1177	4531	3931
1178	4534	3926
1179	4537	3922
1180	4547	3924
1181	4551	3919
1182	4555	3916
1183	4559	3912
1184	4562	3908
1185	4566	3904
1186	4569	3899
1187	4572	3894
1188	4576	3891
1189	4579	3886
1190	4584	3883
1191	4587	3879
1192	4590	3874
1193	4596	3873
1194	4600	3868
1195	4603	3864
1196	4606	3860
1197	4611	3857
1198	4615	3853
1199	4618	3848
1200	4624	3847
1201	4627	3842
1202	4631	3838
1203	4635	3834
1204	4638	3830
1205	4642	3826
1206	4645	3822
1207	4650	3818
1208	4655	3815
1209	4659	3812
1210	4662	3807
1211	4666	3803
1212	4669	3799
1213	4677	3798
1214	4680	3794
1215	4684	3790
1216	4688	3787
1217	4693	3784
1218	4702	3784
1219	4706	3780
1220	4714	3780
1221	4718	3776
1222	4722	3772
1223	4727	3769
1224	4734	3768
1225	4739	3765
1226	4742	3761
1227	4751	3760
1228	4754	3756
1229	4757	3752
1230	4763	3749
1231	4766	3745
1232	4780	3749
1233	4784	3745
1234	4789	3742
1235	4794	3739
1236	4798	3735
1237	4801	3731
1238	4806	3728
1239	4810	3724
1240	4814	3720
1241	4817	3715
1242	4821	3712
1243	4825	3708
1244	4828	3703
1245	4832	3699
1246	4837	3696
1247	4840	3692
1248	4843	3687
1249	4847	3683
1250	4851	3680
1251	4856	3677
1252	4859	3672
1253	4862	3668
1254	4865	3663
1255	4871	3661
1256	4874	3656
1257	4878	3653
1258	4883	3649
1259	4887	3645
1260	4892	3643
1261	4895	3638
1262	4898	3634
1263	4902	3630
1264	4907	3627
1265	4911	3623
1266	4920	3623
1267	4929	3623
1268	4935	3620
1269	4942	3619
1270	4954	3621
1271	4958	3617
1272	4962	3613
1273	4966	3609
1274	4969	3605
1275	4973	3601
1276	4976	3596
1277	4979	3592
1278	4984	3589
1279	4987	3584
1280	4991	3580
1281	4996	3577
1282	5003	3575
1283	5007	3572
1284	5012	3568
1285	5015	3564
1286	5020	3561
1287	5023	3557
1288	5028	3553
1289	5031	3549
1290	5034	3545
1291	5038	3540
1292	5041	3536
1293	5046	3533
1294	5049	3529
1295	5054	3525
1296	5058	3521
1297	5061	3517
1298	5065	3513
1299	5068	3509
1300	5071	3504
1301	5075	3500
1302	5081	3498
1303	5087	3495
1304	5091	3491
1305	5095	3487
1306	5098	3483
1307	5112	3486
1308	5115	3482
1309	5122	3480
1310	5125	3475
1311	5129	3471
1312	5133	3468
1313	5137	3464
1314	5143	3461
1315	5147	3457
1316	5151	3453
1317	5155	3449
1318	5161	3447
1319	5167	3444
1320	5170	3440
1321	5177	3438
1322	5181	3435
1323	5186	3431
1324	5192	3428
1325	5196	3424
1326	5200	3421
1327	5203	3416
1328	5206	3412
1329	5210	3408
1330	5213	3403
1331	5218	3400
1332	5221	3396
1333	5224	3391
1334	5227	3387
1335	5230	3382
1336	5233	3378
1337	5236	3373
1338	5240	3369
1339	5244	3366
1340	5248	3361
1341	5251	3357
1342	5261	3357
1343	5265	3353
1344	5269	3349
1345	5272	3345
1346	5277	3342
1347	5281	3337
1348	5284	3333
1349	5288	3329
1350	5291	3325
1351	5294	3321
1352	5298	3316
1353	5301	3312
1354	5305	3308
1355	5308	3303
1356	5311	3299
1357	5314	3295
1358	5317	3290
1359	5320	3286
1360	5323	3282
1361	5327	3277
1362	5330	3273
1363	5339	3272
1364	5342	3268
1365	5346	3264
1366	5350	3260
1367	5354	3256
1368	5357	3252
1369	5361	3248
1370	5364	3243
1371	5367	3239
1372	5371	3235
1373	5374	3231
1374	5377	3226
1375	5380	3222
1376	5384	3218
1377	5387	3213
1378	5391	3209
1379	5394	3205
1380	5398	3201
1381	5401	3197
1382	5404	3192
1383	5408	3189
1384	5412	3184
1385	5415	3180
1386	5419	3176
1387	5422	3172
1388	5425	3168
1389	5435	3167
1390	5438	3163
1391	5442	3159
1392	5445	3154
1393	5449	3150
1394	5452	3146
1395	5455	3142
1396	5459	3137
1397	5462	3133
1398	5466	3130
1399	5473	3127
1400	5477	3123
1401	5481	3119
1402	5485	3116
1403	5489	3112
1404	5493	3108
1405	5497	3104
1406	5501	3100
1407	5513	3101
1408	5517	3097
1409	5521	3093
1410	5526	3090
1411	5529	3085
1412	5532	3081
1413	5535	3077
1414	5539	3073
1415	5543	3069
1416	5546	3064
1417	5549	3060
1418	5553	3056
1419	5555	3051
1420	5559	3047
1421	5563	3044
1422	5566	3039
1423	5570	3035
1424	5573	3031
1425	5576	3026
1426	5580	3023
1427	5584	3019
1428	5590	3016
1429	5593	3011
1430	5596	3007
1431	5599	3003
1432	5602	2998
1433	5606	2994
1434	5609	2990
1435	5612	2985
1436	5615	2981
1437	5618	2977
1438	5621	2973
1439	5626	2969
1440	5629	2965
1441	5633	2961
1442	5636	2956
1443	5639	2952
1444	5643	2948
1445	5646	2944
1446	5650	2940
1447	5653	2936
1448	5657	2932
1449	5661	2928
1450	5669	2926
1451	5672	2922
1452	5676	2918
1453	5679	2914
1454	5683	2910
1455	5686	2905
1456	5690	2901
1457	5693	2897
1458	5697	2893
1459	5701	2889
1460	5704	2885
1461	5708	2881
1462	5711	2877
1463	5715	2873
1464	5719	2869
1465	5722	2865
1466	5725	2861
1467	5731	2858
1468	5736	2854
1469	5744	2852
1470	5747	2848
1471	5752	2844
1472	5756	2841
1473	5759	2836
1474	5763	2833
1475	5767	2828
1476	5770	2824
1477	5774	2820
1478	5778	2817
1479	5781	2812
1480	5784	2808
1481	5788	2804
1482	5792	2800
1483	5797	2797
1484	5800	2792
1485	5804	2789
1486	5808	2785
1487	5812	2781
1488	5815	2776
1489	5819	2772
1490	5823	2769
1491	5826	2765
1492	5830	2761
1493	5834	2756
1494	5837	2752
1495	5840	2748
1496	5844	2744
1497	5848	2740
1498	5852	2736
1499	5856	2733
1500	5859	2728
1501	5863	2724
1502	5866	2720
1503	5869	2716
1504	5872	2712
1505	5875	2707
1506	5879	2703
1507	5882	2699
1508	5886	2695
1509	5890	2691
1510	5895	2688
1511	5899	2684
1512	5902	2680
1513	5906	2676
1514	5911	2672
1515	5915	2668
1516	5919	2665
1517	5923	2661
1518	5926	2657
1519	5930	2652
1520	5935	2649
1521	5938	2645
1522	5941	2641
1523	5944	2636
1524	5948	2633
1525	5952	2629
1526	5956	2625
1527	5959	2621
1528	5963	2617
1529	5969	2614
1530	5972	2609
1531	5976	2605
1532	5980	2601
1533	5983	2597
1534	5988	2594
1535	6001	2594
1536	6006	2590
1537	6009	2586
1538	6012	2582
1539	6015	2578
1540	6019	2574
1541	6022	2569
1542	6025	2565
1543	6028	2561
1544	6031	2557
1545	6035	2553
1546	6038	2549
1547	6041	2544
1548	6045	2540
1549	6048	2536
1550	6053	2532
1551	6057	2528
1552	6060	2524
1553	6063	2520
1554	6067	2516
1555	6072	2513
1556	6075	2508
1557	6078	2504
1558	6083	2501
1559	6088	2497
1560	6092	2493
1561	6095	2489
1562	6099	2485
1563	6103	2482
1564	6107	2477
1565	6113	2474
1566	6116	2470
1567	6119	2466
1568	6124	2463
1569	6128	2459
1570	6131	2454
1571	6134	2450
1572	6137	2446
1573	6140	2442
1574	6143	2438
1575	6150	2435
1576	6153	2430
1577	6156	2426
1578	6160	2422
1579	6163	2418
1580	6167	2414
1581	6170	2410
1582	6173	2406
1583	6177	2402
1584	6180	2398
1585	6183	2393
1586	6187	2389
1587	6190	2385
1588	6193	2381
1589	6197	2377
1590	6200	2373
1591	6203	2369
1592	6206	2364
1593	6209	2360
1594	6215	2357
1595	6228	2356
1596	6236	2354
1597	6240	2350
1598	6243	2346
1599	6248	2343
1600	6253	2339
1601	6257	2335
1602	6262	2332
1603	6273	2331
1604	6278	2327
1605	6281	2323
1606	6284	2318
1607	6286	2314
1608	6289	2310
